name,total,adversarial,positive_control,boundary_stress,evidence_check,passed,failed,skipped,oracle,limitations
Policy schema and identity conflicts,8,7,1,0,0,8,0,0,compile_policy/load_policy reject malformed or contradictory policies,Mostly function-level rejection checks; not every malformed policy is exercised through Docker.
Bounded pseudonym domains,2,1,0,1,0,2,0,0,Distinct replacement cardinality at the IPv4 limit; over-capacity refusal,IPv4 capacity is covered here; equivalent phone-capacity and forced collision exhaustion are not covered by these two cases.
Original-input matching and overlap,4,1,0,3,0,4,0,0,"Replacement count, sampled literal absence, repeatability and overlap refusal",Stress inputs are bounded; many-literal absence is sampled rather than exhaustively checked.
CSV dialect and located cell/row fidelity,18,12,5,1,0,18,0,0,Unsupported/malformed dialect rejected; cells/rows reread; swaps/dropped rows rejected,Six dialect variants use the CLI and empty-output oracle; other cases mostly call adapters/verifier directly.
"JSON parsing, numbers and encoding",9,5,3,1,0,9,0,0,"Overflow/lossy numbers, depth, duplicate output keys and escaped literals; positive parsing controls","Some positive controls assert only no exception. JSON key-set, list-order and scalar mutations outside these cases need separate coverage assessment."
"SQLite row identity, schema and integrity",11,8,3,0,0,11,0,0,Row swaps/non-text mutations rejected; trigger/rowid-shadow/view literal rejection; integrity/distinctness checks; legal sqliteX inventory and pre-verification schema mutations are checked through the complete pipeline,"DDL, column and foreign-key metadata are compared. The two supplied schema mutations are not exhaustive; wider supported schemas remain workload-driven."
Filesystem boundaries and privacy-safe failures,8,7,1,0,0,8,0,0,"Symlink/nested-root/type refusal, source-bound error redaction and CLI no-leak checks","These cases do not exercise every special-file type, error identifier, or external writer race."
"Publication, replay and source lineage",11,4,5,0,2,11,0,0,"Report/corpus existence, evidence hashes, clean output, prior release retention, changed-source digest detection; short writes must complete and zero-progress writes reject",Short/zero writes are fault-injected through the real pipeline. Broader fsync/rename/power-loss campaigns remain future hardening; the source-mutation probe is helper-level.
Cross-format and text verifier mutations,6,4,2,0,0,6,0,0,Restored/removed/swapped text values and JSON bool/SQLite numeric type mutation rejected,"Re-derivation shares replacement primitives. One typed-scalar case contains two mutations, not two collected cases."
Public claims and report non-claims,3,0,0,0,3,3,0,0,Known stale prose refused; report namespace and non-claim fields present,"Documentation/metadata checks, not adversarial data transformations."
Optional residual-risk demonstration,3,1,1,0,1,3,0,0,Quasi-identifier singleton detection and declared-model scope,Dev-only demonstration outside the release path; does not establish non-reidentifiability or close future issue 12.
